Phở,Bánh mì,Gỏi cuốn,Bún chả,Cà phê sữa đá,isPartial
27,30,0,0,0,False
25,0,0,0,0,False
22,26,0,0,0,False
27,25,0,0,0,False
21,23,0,0,0,False
0,32,0,0,0,False
20,32,0,0,0,False
26,25,0,18,0,False
23,41,0,0,0,False
16,41,0,0,0,False
19,37,0,0,0,False
18,33,0,0,0,False
22,34,0,0,0,False
0,50,0,0,0,False
31,46,0,0,0,False
16,47,0,16,0,False
34,45,0,0,0,False
13,42,0,0,0,False
25,42,0,0,0,False
14,29,0,0,0,False
21,35,0,0,0,False
14,27,0,0,0,False
17,33,0,0,0,False
25,17,0,0,0,False
19,48,0,0,0,False
19,28,0,17,0,False
0,27,0,0,0,False
18,26,0,0,0,False
19,30,0,0,0,False
0,33,0,15,0,False
23,28,0,0,0,False
16,28,0,0,0,False
0,28,0,16,0,False
27,39,0,0,0,False
19,29,0,0,0,False
21,28,0,23,0,False
25,34,0,18,0,False
18,37,0,0,0,False
22,28,0,0,0,False
22,26,0,0,0,False
22,38,0,0,0,False
0,35,0,0,0,False
0,31,0,0,0,False
25,41,0,19,0,False
18,21,0,0,0,False
29,40,0,0,0,False
19,32,0,0,0,False
21,36,0,0,0,False
18,30,0,0,0,False
25,30,0,0,0,False
20,38,0,0,0,False
17,23,0,0,0,False
31,0,0,0,0,False
18,23,0,0,0,False
19,37,0,0,0,False
21,34,0,20,0,False
29,35,0,0,0,False
20,42,0,0,0,False
24,31,0,0,0,False
21,23,0,0,0,False
24,24,0,0,0,False
28,37,0,0,0,False
38,29,0,17,0,False
0,37,0,0,0,False
25,35,0,0,0,False
0,24,0,0,0,False
19,34,0,0,0,False
0,24,0,0,0,False
20,30,0,0,0,False
36,22,0,0,0,False
0,26,0,0,0,False
0,36,18,0,0,False
31,45,0,0,0,False
22,26,0,0,0,False
22,30,0,0,0,False
27,23,0,0,0,False
19,32,0,0,0,False
0,32,0,0,0,False
26,0,0,17,0,False
22,40,0,0,0,False
24,17,0,0,0,False
23,40,0,0,0,False
17,32,0,0,0,False
27,40,0,0,0,False
15,100,0,0,0,False
19,41,0,0,0,False
0,38,18,0,0,False
20,31,0,0,0,False
0,21,0,0,0,False
20,34,0,0,0,False
24,36,0,0,0,False
22,42,0,0,0,False
22,43,0,0,0,False
0,25,0,0,0,False
19,23,0,0,0,False
0,32,0,21,0,False
28,31,0,17,0,False
33,35,0,0,0,False
0,30,0,0,0,False
22,29,0,0,0,False
25,26,0,0,0,False
21,41,0,0,0,False
25,35,0,0,0,False
0,26,0,0,0,False
25,18,0,0,0,False
29,28,0,0,0,False
37,33,0,0,0,False
24,36,0,0,0,False
24,27,0,0,0,False
32,33,0,0,0,False
22,32,0,0,0,False
23,22,0,0,0,False
36,28,0,0,0,False
26,28,0,0,0,False
18,31,0,0,0,False
27,32,0,18,0,False
16,44,0,0,0,False
24,28,0,0,0,False
28,26,0,0,0,False
20,29,0,0,0,False
24,23,0,0,0,False
24,28,0,0,0,False
45,33,0,14,0,False
39,40,0,0,0,False
35,28,0,0,0,False
23,29,0,0,0,False
35,26,0,0,0,False
35,30,0,13,0,False
36,32,0,0,0,False
22,37,0,0,0,False
33,18,0,0,0,False
33,21,0,0,0,False
29,31,0,0,0,False
25,20,0,0,0,False
21,27,0,0,0,False
16,27,15,0,0,False
21,30,0,0,0,False
24,26,0,0,0,False
24,28,0,0,0,False
36,34,0,0,0,False
24,24,0,0,0,False
27,32,0,0,0,False
19,30,0,0,0,False
35,26,0,0,0,False
34,32,0,0,0,False
41,35,0,14,0,False
27,36,0,0,0,False
29,36,0,0,0,False
32,41,0,0,0,False
25,39,0,0,0,False
30,24,0,13,0,False
20,29,0,20,0,False
36,35,0,18,0,False
30,35,0,0,0,False
31,26,0,0,0,False
17,32,0,0,0,False
31,27,0,0,0,False
23,23,0,0,0,False
0,31,0,0,0,False
35,15,0,0,0,False
21,21,0,0,0,False
22,33,0,0,0,False
27,33,0,14,0,False
24,24,0,0,0,False
22,29,0,0,0,False
41,34,0,19,0,False
28,36,0,0,0,False
33,30,0,0,0,False
29,38,0,0,0,False
24,34,0,0,0,False
23,38,0,0,0,False
29,35,0,0,0,False
33,36,0,0,0,False
20,31,0,0,0,False
26,30,0,0,0,False
37,22,0,0,0,False
29,26,13,12,0,False
27,42,0,14,0,False
22,43,0,0,0,False
22,45,0,0,0,False
31,37,0,0,0,False
22,34,0,0,0,False
21,29,0,0,0,False
23,33,0,0,0,False
28,26,0,0,0,False
22,39,0,16,0,False
34,31,0,0,0,False
23,25,0,0,0,False
36,43,0,0,0,False
29,27,0,15,0,False
32,36,0,0,0,False
32,30,0,13,0,False
25,33,13,18,0,False
20,31,0,15,0,False
23,30,18,0,0,False
29,39,0,0,0,False
46,37,0,0,0,False
25,36,0,26,0,False
29,30,0,0,0,False
50,35,0,0,0,False
28,36,0,0,0,False
34,38,0,0,0,False
27,54,0,0,0,False
21,23,0,0,0,False
30,35,0,16,0,False
33,24,0,14,0,False
30,32,0,0,0,False
33,34,0,0,0,False
21,26,0,0,0,False
25,24,0,0,0,False
24,30,0,0,0,False
32,25,0,0,0,False
31,0,0,0,0,False
30,19,0,0,0,False
34,27,0,0,0,False
28,43,0,0,0,False
70,34,0,0,0,False
54,30,0,17,0,False
34,34,0,0,0,False
35,29,0,0,0,False
27,42,0,0,0,False
33,24,0,0,0,False
29,27,0,0,0,False
38,31,0,18,0,False
33,33,0,0,0,False
34,55,0,0,0,False
44,41,0,0,0,False
26,41,0,0,0,False
29,35,0,21,0,False
43,36,0,15,0,False
23,38,0,0,0,False
